"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"MAP3K3"	"NDUFV3"	"DDC"	"DAOA"
"MAP4"	"PPID"	"DEPTOR"	"DNAJC13"
"MAP7"	"SDHA"	"DGUOK"	"DNMT3A"
"MAPK12"	"SDHB"	"DHFR"	"DRD3"
"MAPKAPK2"	"SDHC"	"DLG1"	"DSG4"
"MARK3"	"SDHCP5"	"DLG2"	"EIF4G1"
"MASP1"	"SDHD"	"DLG3"	"ESPN"
"MAST2"	"SEPTIN5"	"DLG4"	"FLI1"
"MAT2A"	"SLC18A1"	"DLG5"	"FTSJ1"
"MAX"	"SLC25A31"	"DLGAP1"	"GBA1"
"MAZ"	"SLC25A4"	"DLGAP2"	"GIGYF2"
"MB"	"SLC25A5"	"DLGAP3"	"GJA5"
"MBD3"	"SLC25A6"	"DLGAP4"	"GJA8"
"MC1R"	"UBA1"	"DLGAP5"	"GP1BB"
"MCL1"	"UBA7"	"DNMT1"	"HARS1"
"MCM7"	"UBB"	"DRD2"	"HIRA"
"MED13"	"UBE2G1"	"DRD4"	"HTR2A"
"MED22"	"UBE2G2"	"DRD5"	"JMJD1C"
"MED24"	"UBE2J1"	"EGFR"	"KRT81"
"METTL13"	"UBE2J2"	"FAAH"	"KRT83"
"MGAT1"	"UBE2L3"	"FAAH2"	"KRT86"
"MGC16275"	"UBE2L6"	"FMO1"	"LRRK2"
"MICB"	"UQCR10"	"FOLH1"	"MED12"
"MITF"	"UQCR10P1"	"FOLR1"	"MSTO1"
"MKNK2"	"UQCR11"	"FOLR2"	"MT-TE"
"MKRN1"	"UQCRB"	"GABBR1"	"MT-TS2"
"MLC1"	"UQCRC2"	"GABRA1"	"MTHFR"
"MMP12"	"UQCRFS1"	"GABRA3"	"MYO7A"
"MMP16"	"UQCRH"	"GABRA4"	"NIPA1"
"MMP2"	"UQCRHL"	"GABRB1"	"NIPA2"
"MOB1A"	"UQCRQ"	"GABRB3"	"NKX2-1"
"MOCOS"	"VDAC1"	"GABRG1"	"PCDH15"
"MPHOSPH8"	"VDAC2"	"GABRQ"	"PDZD7"
"MPST"	"VDAC2P5"	"GAD1"	"PRODH"
"MRAS"	"VDAC3"	"GAD2"	"PSAP"
"MRC2"	"CASP2"	"GCAT"	"RBM12"
"MRGBP"	"CASP6"	"GCH1"	"RREB1"
"MSH4"	"CASP7"	"GK"	"RTN4R"
"MSX1"	"CCNE1"	"GKAP1"	"SEC24C"
"MT1H"	"CCNE2"	"GLS"	"SETD1A"
"MT1X"	"DDC"	"GLS2"	"SHANK3"
"MT2A"	"EPRS1"	"GLUL"	"SLC12A2"
"MTA1"	"MAPK11"	"GNAQ"	"SNCA"
"MTF1"	"MAPK12"	"GNMT"	"SYN2"
"MTHFS"	"MAPK13"	"GOT2"	"TBX1"
"MTIF2"	"MAPK14"	"GPHN"	"TPM2"
"MTMR11"	"MIR10A"	"GRIA1"	"TUBG1"
"MTUS1"	"MIR1224"	"GRIA2"	"UFD1"
"MUC1"	"MIR127"	"GRIA4"	"UPF3B"
"MUTYH"	"MIR128-1"	"GRIN1"	"USH1C"
"MVK"	"MIR128-2"	"GRIN2A"	"USH1G"
"MX2"	"MIR1294"	"GRIN2B"	"USH2A"
"MXD4"	"MIR132"	"GRIN2C"	"VPS35"
"MXI1"	"MIR136"	"GRIN3A"	"WFS1"
"MYBL1"	"MIR16-2"	"GRIN3B"	"WHRN"
"MYBPC1"	"MIR18A"	"GRIP1"	"ZBTB20"
"MYCN"	"MIR195"	"GRIP2"	"ZDHHC9"
"MYLK"	"MIR19A"	"GRM1"	"ABCB7"
"MYO15B"	"MIR19B1"	"GRM2"	"ADGRV1"
"MYO18A"	"MIR19B2"	"GRM3"	"AMACR"
"MYO1C"	"MIR212"	"GRM4"	"APOL2"
"MYO1E"	"MIR26A1"	"GRM5"	"APOL4"
"MYO5C"	"MIR26A2"	"GRM6"	"ARSA"
"MYO6"	"MIR26B"	"GRM7"	"ARSG"
"MYO9B"	"MIR30A"	"GRM8"	"ARVCF"
"MYOM1"	"MIR30E"	"HCFC1"	"ATG7"
"MYOT"	"MIR338"	"HDC"	"ATP2A2"
"MYRF"	"MIR34B"	"HNMT"	"CAT"
"MZF1"	"MIR34C"	"HOMER1"	"CDH23"
"N4BP1"	"MIR370"	"HOMER2"	"CEP78"
"NAA10"	"MIR375"	"HOMER3"	"CHI3L1"
"NADK"	"MIR409"	"HPRT1"	"CHRNA7"
"NAGA"	"MIR431"	"HTR1D"	"CIB2"
"NAIP"	"MIR433"	"HTR1E"	"CLRN1"
"NAP1L4"	"MIR4448"	"HTR1F"	"CNTNAP2"
"NAV2"	"MIR485"	"HTR2A"	"COMT"
"NCAM1"	"MIR503"	"HTR2B"	"DAOA"
"NCK1"	"MIR873"	"HTR3B"	"DNAJC13"
"NCOR2"	"MIRLET7G"	"HTR3C"	"DNMT3A"
"NCSTN"	"SYT11"	"HTR3D"	"DRD3"
"NDE1"	"ABCA7"	"HTR3E"	"DSG4"
"NEIL1"	"ACBD6"	"HTR4"	"EIF4G1"
"NEK1"	"ADH1C"	"HTR6"	"ESPN"
"NEK9"	"AFG3L2"	"HTR7"	"FLI1"
"NELFA"	"ALS2"	"IDO1"	"FTSJ1"
"NEU3"	"AOPEP"	"IDO2"	"GBA1"
"NFASC"	"AP5Z1"	"IMPDH1"	"GIGYF2"
"NFATC1"	"APOE"	"INSR"	"GJA5"
"NFATC3"	"APP"	"ITPA"	"GJA8"
"NFE2L1"	"ARVCF"	"KCNA1"	"GP1BB"
"NFE2L3"	"ATN1"	"KCNA3"	"HARS1"
"NFIB"	"ATP13A2"	"KCNA4"	"HIRA"
"NFKB1"	"ATP1A3"	"KCNA5"	"HTR2A"
"NFKBIA"	"ATP6AP2"	"KCNA6"	"JMJD1C"
"NFX1"	"ATP7B"	"KCNA7"	"KRT81"
"NGDN"	"ATXN2"	"KIT"	"KRT83"
"NID1"	"ATXN3"	"KMO"	"KRT86"
"NIPBL"	"ATXN8OS"	"KYAT1"	"LRRK2"
"NKIRAS2"	"C19orf12"	"KYAT3"	"MED12"
"NME3"	"C9orf72"	"KYNU"	"MSTO1"
"NME4"	"CAT"	"LMBRD1"	"MT-TE"
"NNMT"	"CBS"	"MAOB"	"MT-TS2"
"NOCT"	"CHCHD10"	"MAP1LC3A"	"MTHFR"
"NOP14"	"CHCHD2"	"MAPKAP1"	"MYO7A"
"NOP2"	"CHMP2B"	"MAT1A"	"NIPA1"
"NOP53"	"CLN3"	"MAT2B"	"NIPA2"
"NOP56"	"COASY"	"MC4R"	"NKX2-1"
"NOSIP"	"COMT"	"MLST8"	"PCDH15"
"NPC1"	"COQ2"	"MMAA"	"PDZD7"
"NPRL3"	"CP"	"MMACHC"	"PRODH"
"NR1D1"	"CSF1R"	"MMADHC"	"PSAP"
"NR2F1"	"CYP27A1"	"MMUT"	"RBM12"
"NR2F6"	"DCTN1"	"MOCOS"	"RREB1"
"NR4A3"	"DNAJC12"	"MTHFD1"	"RTN4R"
"NRP2"	"DNAJC13"	"MTHFD1L"	"SEC24C"
"NRXN2"	"DNAJC5"	"MTHFD2"	"SETD1A"
"NSUN5P1"	"DNAJC6"	"MTHFD2L"	"SHANK3"
"NTRK3"	"EIF2AK2"	"MTHFR"	"SLC12A2"
"NUDC"	"EIF4G1"	"MTOR"	"SNCA"
"NUP160"	"FBXO7"	"MTR"	"SYN2"
"NUP205"	"FMR1"	"MTRR"	"TBX1"
"NUP214"	"FTL"	"NADSYN1"	"TPM2"
"NUP43"	"FUS"	"NCAM1"	"TUBG1"
"NYX"	"GABRA1"	"NGLY1"	"UFD1"
"ODC1"	"GABRG2"	"NLGN1"	"UPF3B"
"OFD1"	"GBA1"	"NLGN2"	"USH1C"
"OGDH"	"GCH1"	"NLGN4X"	"USH1G"
"OR2C1"	"GIGYF2"	"NMNAT1"	"USH2A"
"OR7E2P"	"GP1BB"	"NOS1"	"VPS35"
"OSER1"	"GRN"	"NOS2"	"WFS1"
"OSGIN2"	"HIRA"	"NOS3"	"WHRN"
"PABPC1"	"HTRA2"	"NOX1"	"ZBTB20"
"PABPN1"	"IMPDH2"	"NOX3"	"ZDHHC9"
"PACSIN2"	"JAM2"	"NOX4"	"ABCB7"
"PAK2"	"JMJD1C"	"NOX5"	"ADGRV1"
"PAK4"	"JPH3"	"NRXN1"	"AMACR"
"PALLD"	"KCNN2"	"NRXN2"	"APOL2"
"PAPPA2"	"KIF5A"	"NRXN3"	"APOL4"
"PARD3"	"LRRK2"	"OPRM1"	"ARSA"
"PATZ1"	"LYST"	"OXT"	"ARSG"
"PAWR"	"MAPT"	"OXTR"	"ARVCF"
"PAX6"	"MECP2"	"PCBD1"	"ATG7"
"PBX2P1"	"MPO"	"PCBD2"	"ATP2A2"
"PBXIP1"	"MPV17"	"PDGFRA"	"CAT"
"PCDH17"	"MT-TT"	"PDGFRB"	"CDH23"
"PCDH9"	"MYORG"	"PDXK"	"CEP78"
"PCM1"	"NAA60"	"PIK3AP1"	"CHI3L1"
"PCSK5"	"NOS3"	"PIK3C3"	"CHRNA7"
"PDCD4"	"NOTCH3"	"PIK3CB"	"CIB2"
"PDGFRB"	"NR4A2"	"PIK3CD"	"CLRN1"
"PDIA4"	"PANK2"	"PIK3R1"	"CNTNAP2"
"PDLIM2"	"PARK7"	"PIK3R2"	"COMT"
"PDLIM3"	"PCBD1"	"PIK3R3"	"DAOA"
"PDLIM4"	"PCDH19"	"PIK3R4"	"DNAJC13"
"PDPN"	"PDE10A"	"PLCG1"	"DNMT3A"
"PDSS2"	"PDGFB"	"PLCG2"	"DRD3"
"PEBP1"	"PDGFRB"	"PNMT"	"DSG4"
"PECAM1"	"PINK1"	"PNP"	"EIF4G1"
"PELP1"	"PLA2G6"	"PNPO"	"ESPN"
"PER2"	"PLAU"	"PRKAA1"	"FLI1"
"PFKFB3"	"POLG"	"PRKAA2"	"FTSJ1"
"PGC"	"PPP2R2B"	"PRKACA"	"GBA1"
"PHC2"	"PRKAR1B"	"PRKACB"	"GIGYF2"
"PHF1"	"PRKN"	"PRKACG"	"GJA5"
"PHF10"	"PRKRA"	"PRKAR1A"	"GJA8"
"PHF21A"	"PRNP"	"PRKAR1B"	"GP1BB"
"PHKA2"	"PSAP"	"PRKAR2B"	"HARS1"
"PHLDA2"	"PSEN1"	"PRKCA"	"HIRA"
"PHLDA3"	"PSEN2"	"PRKCB"	"HTR2A"
"PIAS4"	"PTPA"	"PRKCD"	"JMJD1C"
"PICK1"	"PTRHD1"	"PRKCG"	"KRT81"
"PIDD1"	"PTS"	"PTK2B"	"KRT83"
"PIGA"	"RAB39B"	"PTS"	"KRT86"
"PIK3C2B"	"RREB1"	"QDPR"	"LRRK2"
"PIK3C3"	"SCARB2"	"QPRT"	"MED12"
"PILRA"	"SCN1A"	"RB1CC1"	"MSTO1"
"PIM1"	"SCN1B"	"REN"	"MT-TE"
"PIN4"	"SCN2A"	"RFK"	"MT-TS2"
"PIP4K2A"	"SCN9A"	"RHEB"	"MTHFR"
"PIP5K1A"	"SEC24C"	"RHOA"	"MYO7A"
"PITPNC1"	"SIGMAR1"	"RICTOR"	"NIPA1"
"PKD1"	"SLC18A2"	"RIT2"	"NIPA2"
"PKN1"	"SLC20A2"	"RPTOR"	"NKX2-1"
"PLA2G5"	"SLC30A10"	"SCN10A"	"PCDH15"
"PLA2G6"	"SLC39A14"	"SCN11A"	"PDZD7"
"PLAAT4"	"SLC6A3"	"SCN1B"	"PRODH"
"PLAGL1"	"SNCA"	"SCN2B"	"PSAP"
"PLAGL2"	"SNCAIP"	"SCN3B"	"RBM12"
"PLCE1"	"SNCB"	"SCN4A"	"RREB1"
"PLCG2"	"SORL1"	"SCN4B"	"RTN4R"
"PLCL1"	"SPG11"	"SCN5A"	"SEC24C"
"PLEC"	"SPTLC1"	"SCN7A"	"SETD1A"
"PLG"	"SQSTM1"	"SCN9A"	"SHANK3"
"PLIN3"	"STUB1"	"SESN1"	"SLC12A2"
"PLOD1"	"SYNJ1"	"SESN2"	"SNCA"
"PLOD3"	"TAF1"	"SHANK1"	"SYN2"
"PLSCR3"	"TARDBP"	"SHANK2"	"TBX1"
"PNISR"	"TBK1"	"SHMT1"	"TPM2"
"PNPLA6"	"TBP"	"SHMT2"	"TUBG1"
"POGZ"	"TBX1"	"SIRT3"	"UFD1"
"POLR1C"	"TH"	"SLC17A6"	"UPF3B"
"POLR1D"	"TK2"	"SLC18A1"	"USH1C"
"POLR2H"	"TMEM106B"	"SLC19A1"	"USH1G"
"POLR2M"	"TMEM240"	"SLC25A12"	"USH2A"
"POLR3C"	"TNR"	"SLC25A13"	"VPS35"
"POLRMT"	"TOMM40"	"SLC25A32"	"WFS1"
"POM121L9P"	"TREM2"	"SLC25A39"	"WHRN"
"POP5"	"TRPM7"	"SLC25A40"	"ZBTB20"
"POU4F2"	"TSPOAP1"	"SLC32A1"	"ZDHHC9"
"PPARD"	"TWNK"	"SLC46A1"	"ABCB7"
"PPDPF"	"UBTF"	"SLC52A1"	"ADGRV1"
"PPFIA1"	"UCHL1"	"SLC52A2"	"AMACR"
"PPFIBP2"	"UFD1"	"SLC52A3"	"APOL2"
"PPM1B"	"UQCRC1"	"SLC6A1"	"APOL4"
"PPM1D"	"VCP"	"SLC6A2"	"ARSA"
"PPM1F"	"VPS13A"	"SLC6A3"	"ARSG"
"PPP1CC"	"VPS13C"	"SLC6A4"	"ARVCF"
"PPP1R14B"	"VPS35"	"SNAP25"	"ATG7"
"PPP1R15A"	"WARS2"	"SOD1"	"ATP2A2"
"PPP1R1A"	"WDR45"	"SOD2"	"CAT"
"PPP1R9A"	"XPR1"	"SOD3"	"CDH23"
"PPP2R1B"	"BMP2"	"SORBS2"	"CEP78"
"PPP2R5D"	"FNIP1"	"SPR"	"CHI3L1"
"PPP6R3"	"GAA"	"STK11"	"CHRNA7"
"PPT2"	"GTPBP3"	"STXBP1"	"CIB2"
"PRAME"	"IFNG"	"SULT1A3"	"CLRN1"
"PRDM2"	"JAG2"	"SYP"	"CNTNAP2"
"PRELP"	"LAMP2"	"SYT1"	"COMT"
"PRKD2"	"MRPS14"	"TAAR1"	"DAOA"
"PRKX"	"MT-CO1"	"TCN1"	"DNAJC13"
"PRLR"	"MT-CO2"	"TCN2"	"DNMT3A"
"PRMT2"	"MT-CO3"	"TDO2"	"DRD3"
"PROX1"	"MT-CYB"	"TH"	"DSG4"
"PRPF6"	"MT-ND1"	"TNF"	"EIF4G1"
"PRPF8"	"MT-ND4"	"TPH1"	"ESPN"
"PRRX1"	"MT-ND5"	"TPH2"	"FLI1"
"PSD4"	"MT-ND6"	"TYMS"	"FTSJ1"
"PSEN2"	"MT-TC"	"ULK1"	"GBA1"
"PSKH1"	"MT-TF"	"VAMP2"	"GIGYF2"
"PSME4"	"MT-TH"	"WDR45"	"GJA5"
"PSMF1"	"MT-TK"	"WIPI1"	"GJA8"
"PTBP1"	"MT-TL1"	"WIPI2"	"GP1BB"
"PTCH1"	"MT-TQ"	"XDH"	"HARS1"
"PTCRA"	"MT-TS2"	"ARC"	"HIRA"
"PTDSS2"	"MT-TV"	"BDNF"	"HTR2A"
"PTGDR2"	"MT-TW"	"CAMK2B"	"JMJD1C"
"PTMA"	"MTFMT"	"CAMK4"	"KRT81"
"PTP4A2"	"NDUFAF1"	"EIF4EBP1"	"KRT83"
"PTP4A3"	"PRKAG2"	"GSK3B"	"KRT86"
"PTPA"	"TCAP"	"HRAS"	"LRRK2"
"PTPRF"	"TNNI3"	"KRAS"	"MED12"
"PTPRH"	"TSC1"	"MAPK1"	"MSTO1"
"PTPRK"	"TSC2"	"MAPK3"	"MT-TE"
"PTTG1IP"	"APAF1"	"NF1"	"MT-TS2"
"PUM1"	"ATP5F1A"	"NRAS"	"MTHFR"
"PURA"	"ATP5F1B"	"PRKAB1"	"MYO7A"
"PZP"	"ATP5F1C"	"PRKAB2"	"NIPA1"
"RAB11B"	"ATP5F1D"	"PRKAG1"	"NIPA2"
"RAB13"	"ATP5F1E"	"PRKAG2"	"NKX2-1"
"RAB22A"	"ATP5MC1"	"PRKAG3"	"PCDH15"
"RAB31"	"ATP5MC1P5"	"RPS6KB1"	"PDZD7"
"RAB3GAP1"	"ATP5MC2"	"AARS1"	"PRODH"
"RABGAP1"	"ATP5MC3"	"ABCB7"	"PSAP"
"RAC1"	"ATP5PB"	"ACTL6B"	"RBM12"
"RAD51AP1"	"ATP5PD"	"ADNP"	"RREB1"
"RALA"	"ATP5PF"	"ADSL"	"RTN4R"
"RALBP1"	"ATP5PO"	"AHDC1"	"SEC24C"
"RALGDS"	"CASP3"	"AKT1"	"SETD1A"
"RALGPS1"	"CASP9"	"ALAD"	"SHANK3"
"RALY"	"COX4I1"	"ALDH5A1"	"SLC12A2"
"RAMP1"	"COX4I2"	"ALG13"	"SNCA"
"RANBP3"	"COX5A"	"ALG14"	"SYN2"
"RANGAP1"	"COX5B"	"ANKRD11"	"TBX1"
"RARB"	"COX6A1"	"AP3B2"	"TPM2"
"RARRES2"	"COX6A2"	"ARCN1"	"TUBG1"
"RASGRP2"	"COX6B1"	"ARL6"	"UFD1"
"RASGRP3"	"COX6B2"	"ARNT2"	"UPF3B"
"RASL12"	"COX6C"	"ARVCF"	"USH1C"
"RBM10"	"COX6CP3"	"ASCC3"	"USH1G"
"RBM15"	"COX7A1"	"ASXL3"	"USH2A"
"RBM3"	"COX7A2"	"ATP1A2"	"VPS35"
"RBM38"	"COX7A2L"	"ATP1A3"	"WFS1"
"RBM4B"	"COX7B"	"ATP6V1A"	"WHRN"
"RBM6"	"COX7B2"	"ATRX"	"ZBTB20"
"RBMS1"	"COX7C"	"BAZ1B"	"ZDHHC9"
"RBMS2"	"COX8A"	"BBIP1"	"ABCB7"
"RBMS3"	"COX8C"	"BBS1"	"ADGRV1"
"RBMX2"	"CYC1"	"BBS10"	"AMACR"
"RBPMS"	"CYCS"	"BBS12"	"APOL2"
"RC3H2"	"GPR37"	"BBS2"	"APOL4"
"RCC1L"	"MT-ATP6"	"BBS4"	"ARSA"
"REC8"	"MT-ATP8"	"BBS5"	"ARSG"
"REG3A"	"MT-ND2"	"BBS7"	"ARVCF"
"REPIN1"	"MT-ND3"	"BBS9"	"ATG7"
"RER1"	"MT-ND4L"	"BCKDK"	"ATP2A2"
"REST"	"NDUFA1"	"BRD4"	"CAT"
"RFNG"	"NDUFA10"	"BUD23"	"CDH23"
"RFX4"	"NDUFA2"	"CACNA1A"	"CEP78"
"RGN"	"NDUFA3"	"CACNA1B"	"CHI3L1"
"RGS12"	"NDUFA4"	"CACNA1C"	"CHRNA7"
"RGS16"	"NDUFA4L2"	"CACNA2D1"	"CIB2"
"RHOBTB3"	"NDUFA5"	"CASZ1"	"CLRN1"
"RIN3"	"NDUFA6"	"CDK13"	"CNTNAP2"
"RLN1"	"NDUFA7"	"CDK19"	"COMT"
"RNASE4"	"NDUFA8"	"CELF2"	"DAOA"
"RNF19A"	"NDUFA9"	"CEP19"	"DNAJC13"
"RNF216"	"NDUFAB1"	"CEP290"	"DNMT3A"
"RNF24"	"NDUFB1"	"CFAP418"	"DRD3"
"RNF8"	"NDUFB10"	"CHD1"	"DSG4"
"RNPEPL1"	"NDUFB2"	"CHD7"	"EIF4G1"
"RO60"	"NDUFB3"	"CHD8"	"ESPN"
"ROCK1"	"NDUFB4"	"CHRNA7"	"FLI1"
"ROS1"	"NDUFB5"	"CLIP2"	"FTSJ1"
"RP2"	"NDUFB6"	"CLTC"	"GBA1"
"RPGRIP1"	"NDUFB7"	"CNKSR2"	"GIGYF2"
"RPL13A"	"NDUFB8"	"CNTNAP2"	"GJA5"
"RPL18"	"NDUFB9"	"COMT"	"GJA8"
"RPL28"	"NDUFC1"	"CREBBP"	"GP1BB"
"RPL37A"	"NDUFC2"	"CYFIP2"	"HARS1"
"RPL39"	"NDUFS1"	"CYP27A1"	"HIRA"
"RPL4"	"NDUFS2"	"DALRD3"	"HTR2A"
"RPL5"	"NDUFS3"	"DEAF1"	"JMJD1C"
"RPLP2"	"NDUFS4"	"DHCR7"	"KRT81"
"RPS19"	"NDUFS5"	"DHDDS"	"KRT83"
"RPS28"	"NDUFS6"	"DICER1"	"KRT86"
"RPS4X"	"NDUFS7"	"DNAJC30"	"LRRK2"
"RPS6KA1"	"NDUFS8"	"DNM1"	"MED12"
"RPS6KA5"	"NDUFV1"	"DOCK7"	"MSTO1"
"RRAGC"	"NDUFV2"	"DPAGT1"	"MT-TE"
"RRAGD"	"NDUFV3"	"DPYD"	"MT-TS2"
"RRBP1"	"PPID"	"DPYS"	"MTHFR"
"RREB1"	"SDHA"	"DYRK1A"	"MYO7A"
"RSF1"	"SDHB"	"EEF1A2"	"NIPA1"
"RUFY1"	"SDHC"	"EHMT1"	"NIPA2"
"RXRG"	"SDHCP5"	"EIF4A2"	"NKX2-1"
"RYBP"	"SDHD"	"EIF4H"	"PCDH15"
"RYK"	"SEPTIN5"	"ELN"	"PDZD7"
"S100A11P1"	"SLC18A1"	"EP300"	"PRODH"
"S100A12"	"SLC25A31"	"ERI1"	"PSAP"
"SAE1"	"SLC25A4"	"EXT2"	"RBM12"
"SALL2"	"SLC25A5"	"FBXO28"	"RREB1"
"SAP25"	"SLC25A6"	"FGF12"	"RTN4R"
"SAP30"	"UBA1"	"FGFR1"	"SEC24C"
"SART1"	"UBA7"	"FKBP6"	"SETD1A"
"SAV1"	"UBB"	"FLCN"	"SHANK3"
"SCAF4"	"UBE2G1"	"FLG"	"SLC12A2"
"SCAMP2"	"UBE2G2"	"FMR1"	"SNCA"
"SCAMP3"	"UBE2J1"	"FOXG1"	"SYN2"
"SCARB1"	"UBE2J2"	"FTCD"	"TBX1"
"SCRIB"	"UBE2L3"	"FTSJ1"	"TPM2"
"SEC11A"	"UBE2L6"	"FZR1"	"TUBG1"
"SEC14L2"	"UQCR10"	"GABBR2"	"UFD1"
"SEC22A"	"UQCR10P1"	"GABRA2"	"UPF3B"
"SEC24A"	"UQCR11"	"GABRA5"	"USH1C"
"SEC24C"	"UQCRB"	"GABRB2"	"USH1G"
"SEC62"	"UQCRC2"	"GABRD"	"USH2A"
"SECTM1"	"UQCRFS1"	"GABRG2"	"VPS35"
"SELENOP"	"UQCRH"	"GAMT"	"WFS1"
"SELL"	"UQCRHL"	"GATM"	"WHRN"
"SEMA3C"	"UQCRQ"	"GJA5"	"ZBTB20"
"SEMA3F"	"VDAC1"	"GJA8"	"ZDHHC9"
"SEMA4C"	"VDAC2"	"GLRA2"	"ABCB7"
"SEMA4F"	"VDAC2P5"	"GNB1"	"ADGRV1"
"SEMA4G"	"VDAC3"	"GP1BB"	"AMACR"
"SENP3"	"CASP2"	"GRIA3"	"APOL2"
"SEPHS1"	"CASP6"	"GRIN2D"	"APOL4"
"SEPTIN2"	"CASP7"	"GTF2I"	"ARSA"
"SEPTIN9"	"CCNE1"	"GTF2IRD1"	"ARSG"
"SERPINA3"	"CCNE2"	"GTF2IRD2"	"ARVCF"
"SERPINA4"	"DDC"	"H4C5"	"ATG7"
"SERPINB4"	"EPRS1"	"HCN1"	"ATP2A2"
"SERPING1"	"MAPK11"	"HDAC4"	"CAT"
"SERPINI2"	"MAPK12"	"HDAC8"	"CDH23"
"SERTAD2"	"MAPK13"	"HECTD4"	"CEP78"
"SET"	"MAPK14"	"HERC2"	"CHI3L1"
"SETD2"	"MIR10A"	"HESX1"	"CHRNA7"
"SF3A2"	"MIR1224"	"HIRA"	"CIB2"
"SF3A3"	"MIR127"	"HNF1B"	"CLRN1"
"SF3B3"	"MIR128-1"	"HSPG2"	"CNTNAP2"
"SFRP4"	"MIR128-2"	"IFNG"	"COMT"
"SFSWAP"	"MIR1294"	"IFT172"	"DAOA"
"SFTPC"	"MIR132"	"IFT27"	"DNAJC13"
"SFXN3"	"MIR136"	"IFT74"	"DNMT3A"
"SGPL1"	"MIR16-2"	"IL1RAPL1"	"DRD3"
"SGTA"	"MIR18A"	"IQSEC2"	"DSG4"
"SH3BP2"	"MIR195"	"JMJD1C"	"EIF4G1"
"SHC1"	"MIR19A"	"KCNA2"	"ESPN"
"SHMT2"	"MIR19B1"	"KCNAB2"	"FLI1"
"SINHCAF"	"MIR19B2"	"KCNB1"	"FTSJ1"
"SIRT2"	"MIR212"	"KCNC2"	"GBA1"
"SIRT6"	"MIR26A1"	"KDM5C"	"GIGYF2"
"SIRT7"	"MIR26A2"	"KLLN"	"GJA5"
"SLC11A1"	"MIR26B"	"KMT2A"	"GJA8"
"SLC12A7"	"MIR30A"	"LHX1"	"GP1BB"
"SLC12A9"	"MIR30E"	"LIMK1"	"HARS1"
"SLC13A1"	"MIR338"	"LUZP1"	"HIRA"
"SLC1A7"	"MIR34B"	"LZTFL1"	"HTR2A"
"SLC22A14"	"MIR34C"	"MAGEL2"	"JMJD1C"
"SLC25A1"	"MIR370"	"MAN1B1"	"KRT81"
"SLC25A21"	"MIR375"	"MAOA"	"KRT83"
"SLC25A40"	"MIR409"	"MECP2"	"KRT86"
"SLC26A2"	"MIR431"	"MED12"	"LRRK2"
"SLC29A2"	"MIR433"	"MED13L"	"MED12"
"SLC2A1"	"MIR4448"	"MEIS2"	"MSTO1"
"SLC2A4RG"	"MIR485"	"METTL27"	"MT-TE"
"SLC2A9"	"MIR503"	"MKKS"	"MT-TS2"
"SLC33A1"	"MIR873"	"MKRN3"	"MTHFR"
"SLC35A2"	"MIRLET7G"	"MKS1"	"MYO7A"
"SLC38A1"	"SYT11"	"MMP23B"	"NIPA1"
"SLC4A4"	"ABCA7"	"NAA20"	"NIPA2"
"SLC4A7"	"ACBD6"	"NAGA"	"NKX2-1"
"SLC6A8"	"ADH1C"	"NCF1"	"PCDH15"
"SLC7A5"	"AFG3L2"	"NDN"	"PDZD7"
"SLC7A6"	"ALS2"	"NDP"	"PRODH"
"SLCO3A1"	"AOPEP"	"NECAP1"	"PSAP"
"SLK"	"AP5Z1"	"NFIB"	"RBM12"
"SMAD1"	"APOE"	"NHS"	"RREB1"
"SMAD2"	"APP"	"NIPA1"	"RTN4R"
"SMAD4"	"ARVCF"	"NIPA2"	"SEC24C"
"SMAD5"	"ATN1"	"NIPBL"	"SETD1A"
"SMARCD1"	"ATP13A2"	"NLGN3"	"SHANK3"
"SMC4"	"ATP1A3"	"NONO"	"SLC12A2"
"SMOX"	"ATP6AP2"	"NPAP1"	"SNCA"
"SNAI2"	"ATP7B"	"NPHP1"	"SYN2"
"SNAPC1"	"ATXN2"	"NR2F1"	"TBX1"
"SNAPC2"	"ATXN3"	"NSUN2"	"TPM2"
"SNED1"	"ATXN8OS"	"NSUN6"	"TUBG1"
"SNHG14"	"C19orf12"	"NTRK2"	"UFD1"
"SNRNP35"	"C9orf72"	"NUS1"	"UPF3B"
"SNRNP70"	"CAT"	"OCA2"	"USH1C"
"SNTA1"	"CBS"	"OTX2"	"USH1G"
"SNX6"	"CHCHD10"	"PACS2"	"USH2A"
"SOD2"	"CHCHD2"	"PAH"	"VPS35"
"SORBS1"	"CHMP2B"	"PAK2"	"WFS1"
"SORD"	"CLN3"	"PARS2"	"WHRN"
"SOX12"	"COASY"	"PDE4D"	"ZBTB20"
"SOX13"	"COMT"	"PDPN"	"ZDHHC9"
"SOX2"	"COQ2"	"PIGA"	"ABCB7"
"SOX9"	"CP"	"PIGL"	"ADGRV1"
"SP100"	"CSF1R"	"PIK3CA"	"AMACR"
"SP110"	"CYP27A1"	"PLXND1"	"APOL2"
"SPAG6"	"DCTN1"	"PPP3CA"	"APOL4"
"SPAG9"	"DNAJC12"	"PRDM16"	"ARSA"
"SPARC"	"DNAJC13"	"PRKCZ"	"ARSG"
"SPEN"	"DNAJC5"	"PROKR2"	"ARVCF"
